0,1,2
0.222,-0.039,-0.025
0.224,-0.007,-0.025
0.228,-0.019,-0.025
0.232,-0.031,-1.175
0.238,0.018,-3.575
0.244,0.002,-1.575
0.25,-0.014,-0.9
0.258,-0.033,-0.925
0.266,-0.037,-0.55
0.274,-0.041,-0.725
0.283,-0.041,-0.975
0.293,-0.02,-0.75
0.302,0.004,-0.55
0.311,0.035,-0.225
0.319,0.072,-0.1
0.325,0.052,-0.025
0.33,0.023,-0.45
0.334,-0.003,-0.425
0.336,-0.012,-0.3
0.337,-0.017,-0.125
0.339,-0.028,-0.05
0.341,-0.043,-0.025
0.344,-0.048,-0.5
0.349,-0.036,-1.8
0.355,0.011,-0.8
0.362,-0.016,-0.325
0.369,0.028,-0.175
0.376,-0.001,-0.225
0.383,0.02,-0.25
0.389,-0.002,-0.1
0.395,-0.006,-0.075
0.4,-0.032,-0.05
0.406,-0.045,-0.475
0.412,-0.042,-0.6
0.419,-0.033,-0.25
0.427,0.013,-0.1
0.436,0.068,-0.075
0.445,0.086,-0.05
0.453,0.121,-0.05
0.46,0.073,-0.05
0.466,0.039,-0.225
0.472,0.012,-0.2
0.476,-0.013,-0.075
0.481,-0.025,-0.025
0.486,-0.029,-0.075
0.491,-0.015,-0.075
0.497,0.02,-0.05
0.503,0.063,-0.05
0.51,0.033,-0.125
0.517,0.028,-0.25
0.523,0.048,-0.15
0.53,0.009,-0.125
0.536,-0.016,-0.2
0.542,-0.029,-0.175
0.548,-0.027,-0.1
0.555,-0.008,-0.1
0.563,0.068,-0.075
0.57,0.089,-0.075
0.577,0.08,-0.125
0.584,0.094,-0.1
0.59,0.07,-0.075
0.595,0.057,-0.05
0.598,0.03,-0.1
0.599,-0.005,-0.1
0.599,-0.011,-0.05
0.599,0.019,-0.05
0.599,0.025,-0.05
0.598,0.093,-0.05
0.598,0.146,-0.05
0.601,0.123,-0.075
0.604,0.11,-0.075
0.608,0.037,-0.05
0.615,0.045,-0.1
0.623,0.025,-0.075
0.631,0.003,-0.1
0.641,0.015,-0.05
0.651,0.064,-0.025
0.662,0.129,-0.025
0.673,0.194,0.0
0.685,0.159,0.0
0.698,0.151,-0.125
0.709,0.11,-0.275
0.719,0.051,-0.325
0.727,0.038,-1.15
0.735,0.019,-1.8
0.748,0.008,-1.075
0.762,0.012,-0.575
0.778,0.055,-0.375
0.794,0.086,-0.675
0.811,0.077,-0.85
0.828,0.092,-0.425
0.846,0.082,-0.15
0.865,0.076,-0.1
0.885,0.044,-0.2
0.904,0.023,-0.325
0.92,0.006,-0.75
0.938,-0.003,-0.35
0.96,0.04,-0.125
0.987,0.129,-0.2
1.018,0.167,-0.225
1.046,0.15,-0.125
1.066,0.147,-0.125
1.085,0.094,-1.325
1.11,0.091,-1.875
1.136,0.016,-0.75
1.158,0.011,-0.325
1.18,0.012,-0.35
1.208,0.015,-0.25
1.24,0.095,-0.2
1.266,0.151,-0.15
1.287,0.118,-0.15
1.305,0.126,-1.35
1.318,0.137,-3.025
1.332,0.063,-1.225
1.354,0.027,-0.5
1.381,0.02,-0.25
1.404,0.003,-0.175
1.428,0.016,-0.125
1.459,0.062,-0.075
1.489,0.104,-0.05
1.51,0.127,-0.05
1.532,0.114,-0.05
1.563,0.108,-0.05
1.594,0.042,-0.075
1.624,0.012,-0.05
1.654,-0.011,-0.075
1.684,-0.016,-0.1
1.711,-0.017,-0.1
1.736,-0.025,-0.1
1.762,-0.027,-0.125
1.789,0.001,-0.1
1.816,0.03,-0.125
